Actions,WIID,Description,Type,Status,Date
,82012634,Research Client Check Copy,WI2,Open,2018-09-29
,82012669,Verify Account Position,WI1,Open,2017-08-11
,82012646,Research Client Check Copy,WI2,Open,2021-11-11
,82012601,Process Vendor Invoice,WI3,Open,2020-02-25
,82012673,Verify Account Position,WI1,Open,2021-04-29
,82012593,Generate Yearly Report for Vendor,WI4,Open,2018-04-19
,82012641,Research Client Check Copy,WI2,Open,2019-01-26
,82012666,Verify Account Position,WI1,Open,2020-02-08
,82012581,Generate Yearly Report for Vendor,WI4,Open,2020-02-04
,82012570,Calculate Client Security Hash,WI5,Open,2017-09-10
,82012677,Verify Account Position,WI1,Open,2021-10-29
,82012613,Research Client Check Copy,WI2,Open,2017-09-23
,82012651,Research Client Check Copy,WI2,Open,2019-11-08
,82012635,Research Client Check Copy,WI2,Open,2017-06-15
,82012576,Calculate Client Security Hash,WI5,Open,2021-10-15
,82012582,Generate Yearly Report for Vendor,WI4,Open,2022-03-19
,82012681,Verify Account Position,WI1,Open,2021-01-06
,82012563,Calculate Client Security Hash,WI5,Open,2022-02-19
,82012606,Research Client Check Copy,WI2,Open,2017-10-24
,82012678,Verify Account Position,WI1,Open,2018-07-09
,82012626,Research Client Check Copy,WI2,Open,2017-08-18
,82012590,Generate Yearly Report for Vendor,WI4,Open,2020-03-28
,82012564,Calculate Client Security Hash,WI5,Open,2017-04-21
,82012588,Generate Yearly Report for Vendor,WI4,Open,2022-02-18
,82012684,Verify Account Position,WI1,Open,2017-07-22
,82012624,Research Client Check Copy,WI2,Open,2021-05-31
,82012620,Research Client Check Copy,WI2,Open,2018-10-22
,82012670,Verify Account Position,WI1,Open,2020-07-20
,82012629,Research Client Check Copy,WI2,Open,2017-02-22
,82012583,Generate Yearly Report for Vendor,WI4,Open,2021-01-15
,82012596,Process Vendor Invoice,WI3,Open,2020-03-02
,82012610,Research Client Check Copy,WI2,Open,2019-05-09
,82012652,Research Client Check Copy,WI2,Open,2021-10-09
,82012567,Calculate Client Security Hash,WI5,Open,2019-01-28
,82012575,Calculate Client Security Hash,WI5,Open,2020-06-24
,82012600,Process Vendor Invoice,WI3,Open,2020-06-06
,82012636,Research Client Check Copy,WI2,Open,2022-01-13
,82012664,Verify Account Position,WI1,Open,2018-11-16
,82012680,Verify Account Position,WI1,Open,2017-05-08
,82012597,Process Vendor Invoice,WI3,Open,2020-05-11
,82012630,Research Client Check Copy,WI2,Open,2020-03-23
,82012615,Research Client Check Copy,WI2,Open,2019-08-15
,82012656,Verify Account Position,WI1,Open,2019-07-21
,82012591,Generate Yearly Report for Vendor,WI4,Open,2021-03-06
,82012639,Research Client Check Copy,WI2,Open,2017-07-12
,82012642,Research Client Check Copy,WI2,Open,2019-09-24
,82012568,Calculate Client Security Hash,WI5,Open,2017-06-29
,82012637,Research Client Check Copy,WI2,Open,2018-01-21
,82012592,Generate Yearly Report for Vendor,WI4,Open,2018-06-17
,82012621,Research Client Check Copy,WI2,Open,2020-01-07
,82012653,Research Client Check Copy,WI2,Open,2020-08-21
,82012586,Generate Yearly Report for Vendor,WI4,Open,2017-09-02
,82012674,Verify Account Position,WI1,Open,2017-02-10
,82012566,Calculate Client Security Hash,WI5,Open,2017-02-17
,82012609,Research Client Check Copy,WI2,Open,2020-07-02
,82012649,Research Client Check Copy,WI2,Open,2018-10-06
,82012574,Calculate Client Security Hash,WI5,Open,2017-12-08
,82012661,Verify Account Position,WI1,Open,2019-02-04
,82012595,Generate Yearly Report for Vendor,WI4,Open,2019-04-23
,82012619,Research Client Check Copy,WI2,Open,2020-01-12
,82012617,Research Client Check Copy,WI2,Open,2021-12-20
,82012672,Verify Account Position,WI1,Open,2018-11-10
,82012657,Verify Account Position,WI1,Open,2020-07-11
,82012647,Research Client Check Copy,WI2,Open,2021-11-19
,82012645,Research Client Check Copy,WI2,Open,2019-09-03
,82012573,Calculate Client Security Hash,WI5,Open,2018-10-24
,82012682,Verify Account Position,WI1,Open,2019-05-05
,82012676,Verify Account Position,WI1,Open,2018-12-18
